,0
rolling_mean_7,0.23148815
sales_lag_21,0.2276375
is_new_year,0.13393812
sales_lag_20,0.111707404
ewm_7,0.038232427
ewm_14,0.034386348
rolling_mean_14,0.02738684
day_of_year,0.026407352
rolling_mean_56,0.022076422
onpromotion,0.020783067
rolling_mean_91,0.020337803
day_of_month,0.017295802
ewm_28,0.012306044
sales_lag_49,0.008447656
rolling_mean_28,0.0076611387
sales_lag_16,0.006085863
sales_lag_19,0.0058023324
sales_lag_56,0.0041540097
month,0.0041055074
is_month_start,0.003617758
sales_lag_28,0.0035488135
sales_lag_17,0.003215274
sales_lag_42,0.0030932592
sales_dow_lag_1w,0.0028333405
promo_rolling_7,0.0023848205
day_of_week,0.0020717282
promo_rolling_14,0.0018016178
sales_lag_18,0.0017726212
rolling_std_7,0.0015805269
is_weekend,0.0013417228
rolling_std_14,0.0012696513
week_of_year,0.001240989
dcoilwtico,0.0011302888
sales_dow_lag_3w,0.001055763
sales_dow_lag_2w,0.0009725698
sales_lag_35,0.0009058592
sales_lag_364,0.00089351146
promo_rolling_30,0.00086090644
oil_lag_14,0.00081892865
sales_dow_lag_4w,0.00073085673
year,0.00068002695
is_national_holiday,0.0006318272
is_christmas_season,0.00021689854
avg_store_transactions,0.00018301485
rolling_std_28,0.00016524593
family_enc,0.00016518698
is_payday,0.00013048871
type_enc,0.00010754004
store_nbr,8.414775e-05
state_enc,7.038472e-05
city_enc,6.3533196e-05
is_month_end,4.8153375e-05
cluster,4.1845247e-05
is_earthquake_aftermath,3.1196072e-05
